"HolderAddress","Balance","PendingBalanceUpdate"
"0x089d7e5e34e9cf3b368355f3ba6ae184cd085a87","206","No"
"0xd81e4380cb85fcb6321a80b0e20eeb9864cf8391","206","No"
"0x70ef2ac2c9735099ffec02b8a9735aaad9f19302","172","No"
"0x9eda00b5705e42f729a0a5309ad5f54db5069bc5","171","No"
"0x1b97c4ce816bff8819733eddbe94b80e62ecd3f1","171","No"
"0x6b67cb1a3a79ed72232f04ffc6e3cb92d19d2182","171","No"
"0x753b408bff6d2538325ab04151195e6a3b867a5a","171","No"
"0x4c8bc1e7c898461fa66353683c1a4b3f8c40400e","171","No"
"0x102ee4ddeb7a95ef9aaaecc14ab93363e3d9b5d5","137","No"
"0x457e2c4002991d909a929253d3f53c1b398ca530","137","No"
"0x2eb973fea388d828c5d50b9239df45195cc9d605","137","No"
"0x474145f76eb2b6662c5d02096e024fae5aadaf86","137","No"
"0xf9386a4006706ce699a37beae25d4768bc38df6c","137","No"
"0xfd5fbb6c0afc7cfcd94573cafbb6afa484940764","137","No"
"0x7e70e0a833e384d0e15cf132830aef21c0f03b33","135.787304924720014443","No"
"0xe5c09a3b635a5ac6a7b5b2e81dec28ecf39f113a","103","No"
"0xd5f8ee28d2bc1430759703dd0328237ec0081ef5","103","No"
"0x98973b1d0af8156e87685278a9c5443e3dbe25ae","103","No"
"0xa8671b4a7d7933ebf252344f67289f629339d8ef","103","No"
"0x77c8d180dacff0209ad83a31114a6e626818cb0d","102","No"
"0xa69f9bd284f463e46a3a8e753a559cf1c4ce0ccc","102","No"
"0x787339e6551e0625c0cc2c088b0e28efccca7601","102","No"
"0x9aff981d8b7102eece893c92bd7a63633c614ccb","102","No"
"0xe69878952deb7bdeb9418daaf00597411de0ea4e","102","No"
"0x689cc7bb716aff448dca16a8b61253c7e246d9fc","96.539415813204223997","No"
"0xa2dc3551fd0389cf7d92ef097a5f35be3df45899","69","No"
"0x72991f0ec8ddd9a2037b48e64a858dee6a0596d2","69","No"
"0x301b29b84e64cbd19b0f1a7366393445de10d5c9","69","No"
"0x9ff32927af1ccfdc38113622ec9d8e26256707e9","69","No"
"0xf0a4765c1a7e318d05e2c52cc51b7a1652dd6083","69","No"
"0x37139325f5a7fd401e928403fbc7a707ed948c5c","69","No"
"0x7dba0de00d5ebddc4f26d1deeb314bf7431c7d07","69","No"
"0x68e7e1285f340f580def0cf41ec971b94361be9b","34","No"
"0xcea1c8482094d49a4c6aef1f5b504b3ccfbfb2ac","34","No"
"0x3b39756c2f23aa7e8f25ec2fa5efd047d89bd7b6","34","No"
"0x961645401ce8ab295cc046d9663b7a180652c2f1","34","No"
"0x40636ad205c7ca14ea7c5a52d809784622a285bc","34","No"
"0x356cea554c0cae282ed77145ce581c0e4bc45a77","34","No"
"0x59c04cba9ac16338cca39ed76312d986fb07b21f","34","No"
"0xf7c45f92d18d80fab5ecea7899bb5b5e3c82b4a7","34","No"
"0x683b2a206484d10d659623804b1de49ba8f843c2","34","No"
"0x0255dd7a63edaed056deadab01b242acccc02909","34","No"
"0xaa12bf26f801ee59714b152e21f495a15b589497","34","No"
"0x1cc3400dcfb0e89d3370d4fbfaa45248ad84d55d","34","No"
"0x9d8e3f72f38b7dbad3b5a246f250c00ea8b56848","32","No"
"0x5ae0109732651777d15478fd95b5e4eaede3672a","32","No"
"0x8d4e10246645db7b31163d3881f0067e09c3321a","32","No"
"0xeb6e1d14315f4590628801430e95f305ff40111a","4.121825314164593769","No"
"0x3f39b8d07f4568bf2a653494a3584069d0f68227","4","No"
"0x4436a2f4b5edb7de26ecd4ff2b61757b93901d8f","0.000000000000010794","No"
